country,name,x,y
Brazil,BR,2013-12-08 22:41:59,62.0
Brazil,BR,2014-01-01,62.0
Brazil,BR,2014-02-01,62.0
Brazil,BR,2014-03-01,65.0
Brazil,BR,2014-04-01,66.0
Brazil,BR,2014-05-01,66.0
Brazil,BR,2014-06-01,68.0
Brazil,BR,2014-07-01,69.0
Brazil,BR,2014-08-01,72.0
Brazil,BR,2014-09-01,72.0
Brazil,BR,2014-10-01,73.0
Brazil,BR,2014-11-01,76.0
Brazil,BR,2014-12-01,77.0
Brazil,BR,2015-01-01,82.0
Brazil,BR,2015-02-01,84.0
Brazil,BR,2015-03-01,84.0
Brazil,BR,2015-04-01,84.0
Brazil,BR,2015-05-01,84.0
Brazil,BR,2015-06-01,89.0
Brazil,BR,2015-07-01,91.0
Brazil,BR,2015-08-01,92.0
Brazil,BR,2015-09-01,94.0
Brazil,BR,2015-10-01,97.0
Brazil,BR,2015-11-01,98.0
Brazil,BR,2015-12-01,99.0
Brazil,BR,2016-01-01,100.0
Brazil,BR,2016-02-01,100.0
Brazil,BR,2016-03-01,100.0
Brazil,BR,2016-04-01,100.0
Brazil,BR,2016-05-01,100.0
Brazil,BR,2016-06-01,100.0
Brazil,BR,2016-07-01,100.0
Brazil,BR,2016-08-01,100.0
Brazil,BR,2016-09-01,100.0
Brazil,BR,2016-10-01,101.0
Brazil,BR,2016-11-01,102.0
