country,name,x,y
Chile,CL,2013-12-08 22:41:59,50.0
Chile,CL,2014-01-01,51.0
Chile,CL,2014-02-01,53.0
Chile,CL,2014-03-01,54.0
Chile,CL,2014-04-01,56.0
Chile,CL,2014-05-01,56.0
Chile,CL,2014-06-01,57.0
Chile,CL,2014-07-01,57.0
Chile,CL,2014-08-01,58.0
Chile,CL,2014-09-01,59.0
Chile,CL,2014-10-01,59.0
Chile,CL,2014-11-01,61.0
Chile,CL,2014-12-01,62.0
Chile,CL,2015-01-01,62.0
Chile,CL,2015-02-01,65.0
Chile,CL,2015-03-01,67.0
Chile,CL,2015-04-01,67.0
Chile,CL,2015-05-01,67.0
Chile,CL,2015-06-01,72.0
Chile,CL,2015-07-01,75.0
Chile,CL,2015-08-01,75.0
Chile,CL,2015-09-01,76.0
Chile,CL,2015-10-01,77.0
Chile,CL,2015-11-01,77.0
Chile,CL,2015-12-01,78.0
Chile,CL,2016-01-01,80.0
Chile,CL,2016-02-01,81.0
Chile,CL,2016-03-01,81.0
Chile,CL,2016-04-01,81.0
Chile,CL,2016-05-01,88.0
Chile,CL,2016-06-01,88.0
Chile,CL,2016-07-01,89.0
Chile,CL,2016-08-01,89.0
Chile,CL,2016-09-01,93.0
