country,name,x,y
China,CN,2013-12-08 22:41:59,1140.0
China,CN,2014-01-01,1155.0
China,CN,2014-02-01,1214.0
China,CN,2014-03-01,1248.0
China,CN,2014-04-01,1261.0
China,CN,2014-05-01,1266.0
China,CN,2014-06-01,1307.0
China,CN,2014-07-01,1332.0
China,CN,2014-08-01,1378.0
China,CN,2014-09-01,1400.0
China,CN,2014-10-01,1429.0
China,CN,2014-11-01,1486.0
China,CN,2014-12-01,1534.0
China,CN,2015-01-01,1608.0
China,CN,2015-02-01,1644.0
China,CN,2015-03-01,1677.0
China,CN,2015-04-01,1679.0
China,CN,2015-05-01,1679.0
China,CN,2015-06-01,1746.0
China,CN,2015-07-01,1792.0
China,CN,2015-08-01,1826.0
China,CN,2015-09-01,1857.0
China,CN,2015-10-01,1931.0
China,CN,2015-11-01,1963.0
China,CN,2015-12-01,2002.0
China,CN,2016-01-01,2087.0
China,CN,2016-02-01,2133.0
China,CN,2016-03-01,2170.0
China,CN,2016-04-01,2197.0
China,CN,2016-05-01,2225.0
China,CN,2016-06-01,2282.0
China,CN,2016-07-01,2326.0
China,CN,2016-08-01,2339.0
China,CN,2016-09-01,2417.0
China,CN,2016-10-01,2467.0
China,CN,2016-11-01,2560.0
China,CN,2016-12-01,2562.0
