country,name,x,y
United Kingdom,GB,2013-12-08 22:41:59,543.0
United Kingdom,GB,2014-01-01,546.0
United Kingdom,GB,2014-02-01,549.0
United Kingdom,GB,2014-03-01,550.0
United Kingdom,GB,2014-04-01,569.0
United Kingdom,GB,2014-05-01,570.0
United Kingdom,GB,2014-06-01,576.0
United Kingdom,GB,2014-07-01,577.0
United Kingdom,GB,2014-08-01,584.0
United Kingdom,GB,2014-09-01,594.0
United Kingdom,GB,2014-10-01,597.0
United Kingdom,GB,2014-11-01,607.0
United Kingdom,GB,2014-12-01,616.0
United Kingdom,GB,2015-01-01,631.0
United Kingdom,GB,2015-02-01,634.0
United Kingdom,GB,2015-03-01,642.0
United Kingdom,GB,2015-04-01,645.0
United Kingdom,GB,2015-05-01,645.0
United Kingdom,GB,2015-06-01,675.0
United Kingdom,GB,2015-07-01,679.0
United Kingdom,GB,2015-08-01,686.0
United Kingdom,GB,2015-09-01,704.0
United Kingdom,GB,2015-10-01,739.0
United Kingdom,GB,2015-11-01,771.0
United Kingdom,GB,2015-12-01,794.0
United Kingdom,GB,2016-01-01,806.0
United Kingdom,GB,2016-02-01,806.0
United Kingdom,GB,2016-03-01,811.0
United Kingdom,GB,2016-04-01,821.0
United Kingdom,GB,2016-05-01,826.0
United Kingdom,GB,2016-06-01,836.0
United Kingdom,GB,2016-07-01,840.0
United Kingdom,GB,2016-08-01,842.0
United Kingdom,GB,2016-09-01,861.0
United Kingdom,GB,2016-10-01,872.0
United Kingdom,GB,2016-11-01,892.0
United Kingdom,GB,2016-12-01,898.0
