country,name,x,y
Ireland,IE,2013-12-08 22:41:59,27.0
Ireland,IE,2014-01-01,30.0
Ireland,IE,2014-02-01,30.0
Ireland,IE,2014-03-01,32.0
Ireland,IE,2014-04-01,33.0
Ireland,IE,2014-05-01,33.0
Ireland,IE,2014-06-01,36.0
Ireland,IE,2014-07-01,36.0
Ireland,IE,2014-08-01,36.0
Ireland,IE,2014-09-01,36.0
Ireland,IE,2014-10-01,36.0
Ireland,IE,2014-11-01,39.0
Ireland,IE,2014-12-01,39.0
Ireland,IE,2015-01-01,40.0
Ireland,IE,2015-02-01,40.0
Ireland,IE,2015-03-01,40.0
Ireland,IE,2015-04-01,42.0
Ireland,IE,2015-05-01,42.0
Ireland,IE,2015-06-01,43.0
Ireland,IE,2015-07-01,46.0
Ireland,IE,2015-08-01,46.0
Ireland,IE,2015-09-01,47.0
Ireland,IE,2015-10-01,50.0
Ireland,IE,2015-11-01,52.0
Ireland,IE,2015-12-01,53.0
Ireland,IE,2016-01-01,56.0
Ireland,IE,2016-02-01,58.0
Ireland,IE,2016-03-01,61.0
Ireland,IE,2016-04-01,62.0
Ireland,IE,2016-05-01,63.0
Ireland,IE,2016-06-01,63.0
Ireland,IE,2016-07-01,63.0
Ireland,IE,2016-08-01,63.0
Ireland,IE,2016-09-01,65.0
Ireland,IE,2016-10-01,70.0
Ireland,IE,2016-11-01,70.0
Ireland,IE,2016-12-01,71.0
