country,name,x,y
India,IN,2013-12-08 22:41:59,29.0
India,IN,2014-01-01,30.0
India,IN,2014-02-01,31.0
India,IN,2014-03-01,35.0
India,IN,2014-04-01,39.0
India,IN,2014-05-01,39.0
India,IN,2014-06-01,43.0
India,IN,2014-07-01,44.0
India,IN,2014-08-01,48.0
India,IN,2014-09-01,50.0
India,IN,2014-10-01,51.0
India,IN,2014-11-01,55.0
India,IN,2014-12-01,55.0
India,IN,2015-01-01,60.0
India,IN,2015-02-01,61.0
India,IN,2015-03-01,66.0
India,IN,2015-04-01,66.0
India,IN,2015-05-01,66.0
India,IN,2015-06-01,71.0
India,IN,2015-07-01,72.0
India,IN,2015-08-01,74.0
India,IN,2015-09-01,74.0
India,IN,2015-10-01,75.0
India,IN,2015-11-01,76.0
India,IN,2015-12-01,77.0
India,IN,2016-01-01,78.0
India,IN,2016-02-01,78.0
India,IN,2016-03-01,80.0
India,IN,2016-04-01,81.0
India,IN,2016-05-01,83.0
India,IN,2016-06-01,83.0
India,IN,2016-07-01,83.0
India,IN,2016-08-01,83.0
India,IN,2016-09-01,84.0
India,IN,2016-10-01,84.0
India,IN,2016-11-01,84.0
India,IN,2016-12-01,85.0
