country,name,x,y
"Korea, Rep.",KR,2013-12-08 22:41:59,531.0
"Korea, Rep.",KR,2014-01-01,540.0
"Korea, Rep.",KR,2014-02-01,552.0
"Korea, Rep.",KR,2014-03-01,572.0
"Korea, Rep.",KR,2014-04-01,582.0
"Korea, Rep.",KR,2014-05-01,593.0
"Korea, Rep.",KR,2014-06-01,613.0
"Korea, Rep.",KR,2014-07-01,623.0
"Korea, Rep.",KR,2014-08-01,639.0
"Korea, Rep.",KR,2014-09-01,648.0
"Korea, Rep.",KR,2014-10-01,656.0
"Korea, Rep.",KR,2014-11-01,667.0
"Korea, Rep.",KR,2014-12-01,680.0
"Korea, Rep.",KR,2015-01-01,703.0
"Korea, Rep.",KR,2015-02-01,717.0
"Korea, Rep.",KR,2015-03-01,723.0
"Korea, Rep.",KR,2015-04-01,726.0
"Korea, Rep.",KR,2015-05-01,726.0
"Korea, Rep.",KR,2015-06-01,755.0
"Korea, Rep.",KR,2015-07-01,773.0
"Korea, Rep.",KR,2015-08-01,777.0
"Korea, Rep.",KR,2015-09-01,794.0
"Korea, Rep.",KR,2015-10-01,813.0
"Korea, Rep.",KR,2015-11-01,819.0
"Korea, Rep.",KR,2015-12-01,831.0
"Korea, Rep.",KR,2016-01-01,849.0
"Korea, Rep.",KR,2016-02-01,853.0
"Korea, Rep.",KR,2016-03-01,860.0
"Korea, Rep.",KR,2016-04-01,871.0
"Korea, Rep.",KR,2016-05-01,882.0
"Korea, Rep.",KR,2016-06-01,891.0
"Korea, Rep.",KR,2016-07-01,904.0
"Korea, Rep.",KR,2016-08-01,910.0
"Korea, Rep.",KR,2016-09-01,925.0
"Korea, Rep.",KR,2016-10-01,939.0
"Korea, Rep.",KR,2016-11-01,952.0
"Korea, Rep.",KR,2016-12-01,959.0
