country,name,x,y
Netherlands,NL,2013-12-08 22:41:59,32.0
Netherlands,NL,2014-01-01,33.0
Netherlands,NL,2014-02-01,34.0
Netherlands,NL,2014-03-01,35.0
Netherlands,NL,2014-04-01,36.0
Netherlands,NL,2014-05-01,36.0
Netherlands,NL,2014-06-01,36.0
Netherlands,NL,2014-07-01,36.0
Netherlands,NL,2014-08-01,36.0
Netherlands,NL,2014-09-01,38.0
Netherlands,NL,2014-10-01,41.0
Netherlands,NL,2014-11-01,44.0
Netherlands,NL,2014-12-01,44.0
Netherlands,NL,2015-01-01,44.0
Netherlands,NL,2015-02-01,44.0
Netherlands,NL,2015-03-01,45.0
Netherlands,NL,2015-04-01,46.0
Netherlands,NL,2015-05-01,46.0
Netherlands,NL,2015-06-01,47.0
Netherlands,NL,2015-07-01,49.0
Netherlands,NL,2015-08-01,50.0
Netherlands,NL,2015-09-01,50.0
Netherlands,NL,2015-10-01,50.0
Netherlands,NL,2015-11-01,51.0
Netherlands,NL,2015-12-01,53.0
Netherlands,NL,2016-01-01,54.0
Netherlands,NL,2016-02-01,54.0
Netherlands,NL,2016-03-01,55.0
Netherlands,NL,2016-04-01,55.0
Netherlands,NL,2016-05-01,56.0
Netherlands,NL,2016-06-01,56.0
Netherlands,NL,2016-07-01,56.0
Netherlands,NL,2016-08-01,56.0
Netherlands,NL,2016-09-01,56.0
Netherlands,NL,2016-10-01,57.0
