country,name,x,y
Saudi Arabia,SA,2013-12-08 22:41:59,54.0
Saudi Arabia,SA,2014-01-01,54.0
Saudi Arabia,SA,2014-02-01,55.0
Saudi Arabia,SA,2014-03-01,55.0
Saudi Arabia,SA,2014-04-01,56.0
Saudi Arabia,SA,2014-05-01,56.0
Saudi Arabia,SA,2014-06-01,57.0
Saudi Arabia,SA,2014-07-01,58.0
Saudi Arabia,SA,2014-08-01,58.0
Saudi Arabia,SA,2014-09-01,58.0
Saudi Arabia,SA,2014-10-01,59.0
Saudi Arabia,SA,2014-11-01,59.0
Saudi Arabia,SA,2014-12-01,60.0
Saudi Arabia,SA,2015-01-01,60.0
Saudi Arabia,SA,2015-02-01,60.0
Saudi Arabia,SA,2015-03-01,60.0
Saudi Arabia,SA,2015-04-01,60.0
Saudi Arabia,SA,2015-05-01,60.0
Saudi Arabia,SA,2015-06-01,64.0
Saudi Arabia,SA,2015-07-01,65.0
Saudi Arabia,SA,2015-08-01,66.0
Saudi Arabia,SA,2015-09-01,66.0
Saudi Arabia,SA,2015-10-01,67.0
Saudi Arabia,SA,2015-11-01,68.0
Saudi Arabia,SA,2015-12-01,69.0
Saudi Arabia,SA,2016-01-01,72.0
Saudi Arabia,SA,2016-02-01,73.0
Saudi Arabia,SA,2016-03-01,77.0
Saudi Arabia,SA,2016-04-01,78.0
Saudi Arabia,SA,2016-05-01,78.0
Saudi Arabia,SA,2016-06-01,82.0
Saudi Arabia,SA,2016-07-01,89.0
Saudi Arabia,SA,2016-08-01,89.0
Saudi Arabia,SA,2016-09-01,90.0
Saudi Arabia,SA,2016-10-01,90.0
Saudi Arabia,SA,2016-11-01,92.0
Saudi Arabia,SA,2016-12-01,95.0
