country,name,x,y
Thailand,TH,2013-12-08 22:41:59,168.0
Thailand,TH,2014-01-01,173.0
Thailand,TH,2014-02-01,175.0
Thailand,TH,2014-03-01,178.0
Thailand,TH,2014-04-01,181.0
Thailand,TH,2014-05-01,183.0
Thailand,TH,2014-06-01,187.0
Thailand,TH,2014-07-01,189.0
Thailand,TH,2014-08-01,191.0
Thailand,TH,2014-09-01,194.0
Thailand,TH,2014-10-01,196.0
Thailand,TH,2014-11-01,200.0
Thailand,TH,2014-12-01,203.0
Thailand,TH,2015-01-01,204.0
Thailand,TH,2015-02-01,206.0
Thailand,TH,2015-03-01,207.0
Thailand,TH,2015-04-01,210.0
Thailand,TH,2015-05-01,210.0
Thailand,TH,2015-06-01,218.0
Thailand,TH,2015-07-01,222.0
Thailand,TH,2015-08-01,226.0
Thailand,TH,2015-09-01,229.0
Thailand,TH,2015-10-01,233.0
Thailand,TH,2015-11-01,235.0
Thailand,TH,2015-12-01,238.0
Thailand,TH,2016-01-01,243.0
Thailand,TH,2016-02-01,247.0
Thailand,TH,2016-03-01,247.0
Thailand,TH,2016-04-01,254.0
Thailand,TH,2016-05-01,258.0
Thailand,TH,2016-06-01,261.0
Thailand,TH,2016-07-01,261.0
Thailand,TH,2016-08-01,262.0
Thailand,TH,2016-09-01,267.0
Thailand,TH,2016-10-01,271.0
Thailand,TH,2016-11-01,274.0
Thailand,TH,2016-12-01,277.0
