"","CAPOVERALL","CurrentModCodValue","USGOVERALL","DEVICEID"
"1",200,"16APSK - two-third",199,"TERM1252"
"2",0,"8PSK - two-third",0,"TERM1225"
"3",10000,"QPSK - two-third",4027,"TERM594"
"4",10000,"16APSK - two-third",7436,"TERM854"
"5",0,"QPSK - fifth-sixth",0,"TERM995"
"6",0,"8PSK - two-third",0,"TERM753"
"7",0,"8PSK - two-third",0,"TERM1334"
"8",10000,"16APSK - two-third",9976,"TERM1291"
"9",5000,"8PSK - three-fourth",1750,"TERM1318"
"10",0,"8PSK - two-third",0,"TERM1297"
"11",0,"8PSK - two-third",0,"TERM357"
"12",5000,"8PSK - two-third",4304,"TERM1068"
"13",0,"8PSK - two-third",0,"TERM1066"
"14",0,"8PSK - two-third",0,"TERM1276"
"15",0,"8PSK - three-fourth",0,"TERM1298"
"16",0,"8PSK - three-fourth",0,"TERM192"
"17",0,"8PSK - two-third",0,"TERM788"
"18",0,"8PSK - three-fourth",0,"TERM1218"
"19",0,"8PSK - two-third",0,"TERM1211"
"20",0,"16APSK - two-third",0,"TERM1263"
"21",0,"QPSK - fifth-sixth",0,"TERM987"
"22",0,"8PSK - two-third",0,"TERM829"
"23",0,"16APSK - two-third",0,"TERM1223"
"24",5000,"16APSK - two-third",346,"TERM1183"
"25",0,"8PSK - three-fourth",0,"TERM310"
"26",0,"8PSK - two-third",0,"TERM1065"
"27",0,"16APSK - two-third",0,"TERM1215"
"28",0,"8PSK - three-fourth",0,"TERM1174"
"29",0,"16APSK - two-third",0,"TERM1206"
"30",0,"8PSK - three-fourth",0,"TERM1220"
"31",0,"16APSK - three-fourth",0,"TERM414"
"32",0,"8PSK - two-third",0,"TERM383"
"33",0,"16APSK - two-third",0,"TERM1051"
"34",0,"16APSK - three-fourth",0,"TERM1137"
"35",0,"16APSK - two-third",0,"TERM1195"
"36",0,"16APSK - two-third",0,"TERM1192"
"37",200,"8PSK - two-third",0,"TERM1191"
"38",0,"8PSK - three-fourth",0,"TERM58"
"39",0,"QPSK - fifth-sixth",0,"TERM1045"
"40",0,"8PSK - three-fourth",0,"TERM1180"
"41",200,"16APSK - two-third",199,"TERM953"
"42",0,"16APSK - two-third",0,"TERM1165"
"43",0,"8PSK - three-fourth",0,"TERM1153"
"44",0,"8PSK - three-fourth",0,"TERM113"
"45",0,"8PSK - three-fourth",0,"TERM1080"
"46",0,"8PSK - two-third",0,"TERM1177"
"47",0,"QPSK - two-third",0,"TERM714"
"48",0,"8PSK - three-fourth",0,"TERM726"
"49",0,"8PSK - three-fourth",0,"TERM1173"
"50",0,"8PSK - three-fourth",0,"TERM1163"
"51",10000,"8PSK - three-fourth",4471,"TERM1098"
"52",200,"8PSK - two-third",0,"TERM30"
"53",0,"8PSK - two-third",0,"TERM425"
"54",0,"8PSK - two-third",0,"TERM1086"
"55",0,"8PSK - three-fourth",0,"TERM1094"
"56",0,"8PSK - two-third",0,"TERM1089"
"57",0,"16APSK - two-third",0,"TERM1106"
"58",0,"8PSK - two-third",0,"TERM994"
"59",0,"8PSK - two-third",0,"TERM991"
"60",0,"8PSK - three-fourth",0,"TERM978"
"61",0,"8PSK - two-third",0,"TERM1015"
"62",0,"8PSK - two-third",0,"TERM847"
"63",0,"8PSK - two-third",0,"TERM826"
"64",0,"QPSK - fifth-sixth",0,"TERM844"
"65",0,"8PSK - three-fourth",0,"TERM657"
"66",0,"8PSK - three-fourth",0,"TERM628"
"67",0,"16APSK - two-third",0,"TERM1077"
"68",200,"8PSK - three-fourth",200,"TERM1092"
"69",0,"16APSK - two-third",0,"TERM1085"
"70",0,"8PSK - two-third",0,"TERM973"
"71",0,"8PSK - three-fourth",0,"TERM1079"
"72",0,"8PSK - three-fourth",0,"TERM756"
"73",0,"8PSK - three-fourth",0,"TERM1023"
"74",0,"QPSK - fifth-sixth",0,"TERM913"
"75",0,"8PSK - two-third",0,"TERM1057"
"76",0,"16APSK - three-fourth",0,"TERM152"
"77",0,"8PSK - two-third",0,"TERM1027"
"78",0,"QPSK - fifth-sixth",0,"TERM924"
"79",0,"8PSK - two-third",0,"TERM907"
"80",0,"16APSK - two-third",0,"TERM893"
"81",0,"8PSK - three-fourth",0,"TERM1022"
"82",0,"8PSK - three-fourth",0,"TERM952"
"83",0,"16APSK - two-third",0,"TERM964"
"84",0,"8PSK - three-fourth",0,"TERM985"
"85",0,"16APSK - two-third",0,"TERM942"
"86",0,"8PSK - three-fourth",0,"TERM754"
"87",0,"8PSK - three-fourth",0,"TERM940"
"88",0,"8PSK - three-fourth",0,"TERM956"
"89",0,"8PSK - three-fourth",0,"TERM1040"
"90",0,"16APSK - two-third",0,"TERM1041"
"91",0,"16APSK - two-third",0,"TERM951"
"92",0,"8PSK - three-fourth",0,"TERM885"
"93",0,"8PSK - three-fourth",0,"TERM636"
"94",0,"16APSK - two-third",0,"TERM919"
"95",0,"8PSK - three-fourth",0,"TERM932"
"96",0,"8PSK - three-fourth",0,"TERM632"
"97",0,"8PSK - three-fourth",0,"TERM855"
"98",0,"8PSK - three-fourth",0,"TERM906"
"99",0,"QPSK - fifth-sixth",0,"TERM914"
"100",0,"8PSK - two-third",0,"TERM939"
"101",0,"8PSK - two-third",0,"TERM879"
"102",0,"8PSK - three-fourth",0,"TERM516"
"103",0,"16APSK - two-third",0,"TERM767"
"104",0,"8PSK - three-fourth",0,"TERM882"
