"ABSOLUTE_BEAM_ID","DEVICEID","ACTIVATION_DATE","LONGITUDE","LATITUDE","SERVICE_PLAN_NAME","LATITUDE_DEGREES","LONGITUDE_DEGREES","X","CAPOVERALL","CurrentModCodValue","USGOVERALL","SPECTRAL_EFFICIENCY","SPECTRAL_EFFICIENCY_BINNED","TOTAL_USAGE","TOTAL_USAGE_BINNED","lat","lng","loc","country"
"Beam 20","TERM1106","2017-05-26 00:46:39.0",2644.568229,7555.551058,"I20E_3D_.5U_NSP1",75.9258509666667,26.7428038166667,57,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1227","2017-04-16 19:59:30.0",2650.236139,7567.834726,"I20E_1.5D_.2U_5GB_NSP1",76.1305787666667,26.8372689833333,192,5000,"16APSK - two-third",906,2.66,"[2 to 3)",4.094,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1173","2017-05-11 03:40:37.0",2649.466406,7549.487271,"I20E_5D_1U_NSP1",75.82478785,26.8244401,49,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1217","2017-04-19 22:26:30.0",2669.213872,7612.215207,"I20E_1.5D_.2U_5GB_NSP1",76.2035867833333,27.1535645333333,191,5000,"QPSK - one-half",0,1,"[0.5 to 2)",5,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM714","2017-07-22 14:02:39.0",2662.771904,7558.443101,"I20E_3D_.5U_NSP1",75.9740516833333,27.0461984,47,0,"QPSK - two-third",0,1.333,"[0.5 to 2)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM671","2017-07-29 01:33:33.0",2671.452099,7500.185414,"I20E_1.5D_.2U_NSP1",75.0030902333333,27.1908683166667,131,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM858","2017-06-30 01:02:56.0",2662.130545,7594.307385,"I20E_3D_.5U_NSP1",76.57178975,27.0355090833333,119,0,"QPSK - fifth-sixth",0,1.666,"[0.5 to 2)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1041","2017-06-07 22:54:14.0",2672.992925,7538.672786,"I20E_3D_.5U_NSP1",75.6445464333333,27.21654875,90,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM585","2017-08-11 13:10:36.0",2630.46842,7569.153584,"I20E_3D_.5U_NSP1",76.1525597333333,26.507807,205,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM491","2017-08-17 21:38:22.0",2668.964213,7635.198981,"I20E_1.5D_.2U_NSP1",76.5866496833333,27.14940355,210,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1174","2017-05-10 21:23:24.0",2662.266058,7468.474541,"I20E_3D_.5U_NSP1",75.14124235,27.0377676333333,28,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM419","2017-08-25 02:26:11.0",2676.036018,7591.426742,"I20E_5D_1U_NSP1",76.5237790333333,27.2672669666667,202,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1165","2017-05-12 17:46:44.0",2676.910887,7500.907895,"I20E_3D_.5U_NSP1",75.0151315833333,27.2818481166667,42,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1291","2017-03-07 20:25:05.0",2650.543747,7594.218904,"I20E_3D_.5U_10GB_NSP1",76.5703150666667,26.8423957833333,8,10000,"16APSK - two-third",9976,2.66,"[2 to 3)",0.024,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1066","2017-06-04 23:57:55.0",2658.004627,7482.269322,"I20E_3D_.5U_NSP1",75.3711553666667,26.9667437833333,13,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1022","2017-06-09 13:59:57.0",2661.248629,7620.355572,"I20E_3D_.5U_NSP1",76.3392595333333,27.0208104833333,81,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM490","2017-08-17 22:19:16.0",2625.41306,7569.796762,"I20E_3D_.5U_NSP1",76.1632793666667,26.423551,154,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1215","2017-04-20 19:42:33.0",2656.62204,7506.054952,"I20E_3D_.5U_NSP1",75.1009158666667,26.9437006666667,27,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM243","2017-09-16 20:26:28.0",2659.660425,7596.383126,"I20E_1.5D_.2U_NSP1",76.6063854333333,26.9943404166667,159,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM479","2017-08-18 18:11:43.0",2642.188256,7503.35437,"I20E_3D_.5U_NSP1",75.0559061666667,26.7031376,180,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM524","2017-08-16 15:21:06.0",2658.918576,7551.298453,"I20E_5D_1U_NSP1",75.8549742166667,26.9819762666667,156,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1191","2017-04-27 03:12:35.0",2649.257027,7568.303227,"I20E_1.5D_.2U_NSP1",76.1383871166667,26.82095045,37,200,"8PSK - two-third",0,2,"[2 to 3)",0.2,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM617","2017-08-06 17:38:33.0",2638.418771,7550.417223,"I20E_3D_.5U_NSP1",75.84028705,26.64031285,138,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1192","2017-04-26 21:09:37.0",2657.603945,7588.902682,"I20E_1D_1U",76.4817113666667,26.96006575,36,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM854","2017-06-30 20:22:37.0",2686.008843,7553.636844,"I20E_3D_.5U_10GB_NSP1",75.8939474,27.4334807166667,4,10000,"16APSK - two-third",7436,2.66,"[2 to 3)",2.564,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
