CAPOVERALL,CurrentModCodValue,USGOVERALL,DEVICEID
0,not-applicable,0,
0,QPSK - one-half,0,B21LIMDMO0004
0,not-applicable,0,
40000,16APSK - twenty five-thirty sixth,39996,B21LIMDMO0001
40000,QPSK - one-half,39998,B21LIMDMO0002
200,16APSK - two-third,200,TEV000010669
200,8PSK - three-fourth,0,TEV000010649
200,16APSK - two-third,188,TEV000010675
200,16APSK - two-third,199,B20CAM0000001
200,8PSK - two-third,191,TEV000010630
200,8PSK - three-fourth,191,TEV000010595
0,not-applicable,0,
200,16APSK - two-third,186,TEV000010650
200,8PSK - two-third,200,B20VER0000032
200,8PSK - two-third,0,B20CHP0000068
0,8PSK - three-fourth,0,B20CHP0000080
0,8PSK - two-third,0,B20VER0000002
0,16APSK - two-third,0,B20CHP0000076
10000,16APSK - two-third,9976,B20CHP0000017
0,8PSK - two-third,0,B20CHP0000101
0,8PSK - two-third,0,B20VER0000027
0,8PSK - two-third,0,B20VER0000025
0,16APSK - two-third,0,B20VER0000014
0,QPSK - fifth-sixth,0,B20CHP0000102
0,16APSK - two-third,0,B20CHP0000187
0,8PSK - three-fourth,0,B20CHP0000217
0,8PSK - three-fourth,0,B20CHP0000026
20000,8PSK - three-fourth,15342,B20VER0000004
0,8PSK - two-third,0,B20CHP0000196
0,8PSK - two-third,0,B20OAX0000014
5000,16APSK - two-third,906,B20VER0000011
0,8PSK - two-third,0,B20CHP0000075
0,16APSK - two-third,0,B20CHP0000133
0,8PSK - three-fourth,0,B20OAX0000010
10000,QPSK - two-third,4027,B20CHP0000004
0,8PSK - three-fourth,0,B20VER0000034
0,8PSK - two-third,0,B20CHP0000038
0,16APSK - three-fourth,0,B20CHP0000045
0,QPSK - fifth-sixth,0,B20CHP0000151
0,8PSK - three-fourth,0,B20CHP0000123
0,8PSK - three-fourth,0,B20CHP0000074
5000,16APSK - two-third,346,B20CHP0000036
0,QPSK - two-third,0,B20TAB0000010
0,8PSK - two-third,0,B20CHP0000070
0,8PSK - two-third,0,B20CHP0000145
0,8PSK - three-fourth,0,B20CHP0000159
0,16APSK - three-fourth,0,B20CHP0000048
0,16APSK - two-third,0,B20CHP0000050
0,8PSK - three-fourth,0,B20VER0000029
0,16APSK - two-third,0,B20VER0000028
0,16APSK - two-third,0,B20VER0000038
0,16APSK - four-fifth,0,B20CHP0000181
0,16APSK - two-third,0,B20CHP0000104
0,8PSK - three-fourth,0,B20CHP0000095
0,8PSK - two-third,0,B20CHP0000149
0,8PSK - three-fourth,0,B20CHP0000060
0,16APSK - two-third,0,B20CHP0000118
0,QPSK - fifth-sixth,0,B20CHP0000160
0,QPSK - fifth-sixth,0,B20CHP0000098
0,8PSK - three-fourth,0,B20CHP0000165
0,8PSK - three-fourth,0,B20CHP0000065
0,8PSK - two-third,0,B20CHP0000136
0,8PSK - two-third,0,B20OAX0000008
0,16APSK - two-third,0,B20CHP0000169
0,8PSK - three-fourth,0,B20CHP0000105
0,16APSK - two-third,0,B20CHP0000116
0,16APSK - two-third,0,B20OAX0000002
10000,QPSK - fifth-sixth,0,B20TAB0000006
5000,QPSK - one-half,0,B20VER0000010
0,8PSK - two-third,0,B20CHP0000079
0,8PSK - two-third,0,B20CHP0000016
0,8PSK - three-fourth,0,B20CHP0000112
0,8PSK - two-third,0,B20CHP0000027
0,8PSK - three-fourth,0,B20CHP0000158
0,16APSK - two-third,0,B20CHP0000039
0,16APSK - two-third,0,B20CHP0000212
0,8PSK - two-third,0,B20CHP0000013
0,8PSK - two-third,0,B20CHP0000092
0,8PSK - three-fourth,0,B20CHP0000093
0,8PSK - two-third,0,B20TAB0000008
0,8PSK - two-third,0,B20CHP0000078
0,16APSK - two-third,0,B20CHP0000091
0,8PSK - three-fourth,0,B20CHP0000054
0,8PSK - two-third,0,B20CHP0000023
0,8PSK - three-fourth,0,B20VER0000041
5000,8PSK - two-third,4304,B20CHP0000021
0,16APSK - two-third,0,B20CHP0000088
0,8PSK - two-third,0,B20CHP0000166
0,QPSK - fifth-sixth,0,B20CHP0000053
0,8PSK - two-third,0,B20CHP0000001
0,8PSK - three-fourth,0,B20CHP0000125
0,8PSK - three-fourth,0,B20CHP0000097
0,8PSK - two-third,0,B20VER0000017
0,8PSK - three-fourth,0,B20CHP0000198
0,8PSK - three-fourth,0,B20CHP0000086
0,8PSK - three-fourth,0,B20CHP0000059
0,not-applicable,0,
0,8PSK - two-third,0,B20CHP0000131
0,8PSK - three-fourth,0,B20CHP0000146
0,8PSK - three-fourth,0,B20CHP0000191
0,8PSK - three-fourth,0,B20CHP0000108
0,8PSK - three-fourth,0,B20CHP0000186
0,8PSK - two-third,0,B20CHP0000175
0,QPSK - fifth-sixth,0,B20CHP0000140
0,QPSK - two-third,0,B20OAX0000017
0,not-applicable,0,
0,8PSK - two-third,0,B20CHP0000168
0,8PSK - three-fourth,0,B20CHP0000115
0,8PSK - three-fourth,0,B20CHP0000184
0,8PSK - three-fourth,0,B20CHP0000043
0,8PSK - two-third,0,B20CHP0000173
0,8PSK - two-third,0,B20CHP0000029
0,not-applicable,0,
0,not-applicable,0,
0,8PSK - two-third,0,B20CHP0000073
0,8PSK - two-third,0,B20CHP0000034
0,not-applicable,0,
0,not-applicable,0,
0,8PSK - two-third,0,B20CHP0000020
0,8PSK - three-fourth,0,B20CHP0000024
200,8PSK - three-fourth,200,B20CHP0000090
200,8PSK - two-third,0,B20CHP0000051
200,16APSK - two-third,199,B20CHP0000150
200,8PSK - two-third,0,TEV000010591
200,16APSK - two-third,199,B20CHP0000055
200,8PSK - three-fourth,198,TEV000010600
0,QPSK - fifth-sixth,0,B20CHP0000200
0,16APSK - two-third,0,B20CHP0000049
10000,8PSK - three-fourth,4471,B20CHP0000067
0,16APSK - two-third,0,B20CHP0000139
0,16APSK - two-third,0,B20OAX0000015
0,8PSK - three-fourth,0,B20CHP0000058
0,16APSK - two-third,0,B20CHP0000215
0,8PSK - two-third,0,B20CHP0000179
0,8PSK - two-third,0,B20CHP0000177
0,8PSK - two-third,0,B20CHP0000197
0,8PSK - two-third,0,B20CHP0000103
0,8PSK - three-fourth,0,B20CHP0000120
0,8PSK - two-third,0,B20CHP0000144
0,8PSK - two-third,0,B20CHP0000099
0,8PSK - two-third,0,B20CHP0000130
0,16APSK - two-third,0,B20CHP0000142
0,8PSK - three-fourth,0,B20VER0000007
0,16APSK - two-third,0,B20CHP0000201
0,8PSK - two-third,0,B20CHP0000046
0,16APSK - two-third,0,B20CHP0000111
0,16APSK - two-third,0,B20CHP0000170
0,QPSK - fifth-sixth,0,B20CHP0000085
0,8PSK - two-third,0,B20OAX0000006
0,8PSK - two-third,0,B20CHP0000152
0,8PSK - two-third,0,B20CHP0000154
0,8PSK - three-fourth,0,B20CHP0000113
0,16APSK - two-third,0,B20CHP0000030
0,16APSK - two-third,0,B20VER0000008
0,8PSK - three-fourth,0,B20VER0000031
0,8PSK - two-third,0,B20VER0000030
0,8PSK - two-third,0,B20CHP0000190
5000,16APSK - two-third,2871,B20TAB0000004
0,8PSK - two-third,0,B20CHP0000171
0,8PSK - two-third,0,B20VER0000026
0,8PSK - three-fourth,0,B20CHP0000063
0,8PSK - three-fourth,0,B20CHP0000155
0,8PSK - two-third,0,B20CHP0000192
0,8PSK - three-fourth,0,B20CHP0000106
0,16APSK - two-third,0,B20CHP0000047
0,8PSK - two-third,0,B20CHP0000195
0,8PSK - three-fourth,0,B20CHP0000066
0,16APSK - two-third,0,B20VER0000006
0,16APSK - two-third,0,B20CHP0000183
0,8PSK - two-third,0,B20CHP0000061
0,QPSK - fifth-sixth,0,B20CHP0000128
0,8PSK - two-third,0,B20CHP0000084
0,8PSK - two-third,0,B20CHP0000022
10000,16APSK - two-third,7436,B20CHP0000008
0,8PSK - three-fourth,0,B20OAX0000018
5000,8PSK - three-fourth,1750,B20CHP0000018
0,16APSK - two-third,0,B20CHP0000121
0,16APSK - two-third,0,B20OAX0000012
0,8PSK - three-fourth,0,B20CHP0000135
0,8PSK - two-third,0,B20VER0000012
0,8PSK - three-fourth,0,B20CHP0000119
0,QPSK - two-third,0,B20CHP0000062
10000,8PSK - three-fourth,0,B20VER0000003
0,8PSK - three-fourth,0,B20CHP0000037
0,8PSK - two-third,0,B20CHP0000161
0,8PSK - two-third,0,B20CHP0000172
0,8PSK - three-fourth,0,B20VER0000039
0,8PSK - two-third,0,B20VER0000037
0,QPSK - two-third,0,B20OAX0000007
0,32APSK - two-third,0,B20CHP0000182
0,16APSK - two-third,0,B20CHP0000035
0,16APSK - two-third,0,B20CHP0000056
0,8PSK - three-fourth,0,B20CHP0000141
0,8PSK - two-third,0,B20CHP0000083
5000,QPSK - two-third,0,B32OAX0000010
0,8PSK - three-fourth,0,B20CHP0000176
0,8PSK - three-fourth,0,B20CHP0000124
0,16APSK - two-third,0,B20CHP0000147
0,8PSK - three-fourth,0,B20CHP0000114
0,8PSK - three-fourth,0,B20CHP0000162
0,8PSK - three-fourth,0,B20CHP0000157
0,8PSK - two-third,0,B20CHP0000082
0,8PSK - three-fourth,0,B20CHP0000214
0,QPSK - fifth-sixth,0,B20VER0000020
0,8PSK - three-fourth,0,B20CHP0000028
0,8PSK - three-fourth,0,B20CHP0000164
0,8PSK - two-third,0,B20CHP0000199
0,8PSK - two-third,0,B20CHP0000137
0,8PSK - two-third,0,B20VER0000019
0,QPSK - fifth-sixth,0,B20CHP0000012
0,QPSK - fifth-sixth,0,B20CHP0000033
0,16APSK - two-third,0,B20CHP0000107
0,8PSK - three-fourth,0,B20CHP0000132
0,QPSK - fifth-sixth,0,B20CHP0000153
