Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/1/2017,"2,234","14,936",6.01,0,548,441,6,48,"1,437"
10/2/2017,"2,684","24,574",9.85,0,360,468,68,88,"1,995"
10/3/2017,"2,294","16,988",6.81,0,535,402,58,46,"1,489"
10/4/2017,"2,520","20,802",8.34,0,380,509,30,57,"1,783"
10/5/2017,"2,516","22,190",8.89,0,605,408,31,92,"1,730"
10/6/2017,"2,204","14,909",5.98,0,520,461,38,2,"1,383"
10/7/2017,"2,192","14,173",5.68,0,563,468,46,7,"1,396"
10/8/2017,"1,786","8,605",3.45,0,"1,146",275,17,2,803
10/9/2017,"1,990","10,916",4.37,0,974,378,22,1,"1,083"
10/10/2017,"2,414","19,493",7.81,0,436,455,30,55,"1,633"
10/11/2017,"2,451","18,430",7.39,0,524,529,18,50,"1,708"
10/12/2017,"2,313","16,499",6.61,0,487,450,46,36,"1,516"
10/13/2017,"2,440","19,330",7.75,0,436,466,28,59,"1,666"
10/14/2017,"2,444","19,077",7.65,0,523,508,62,21,"1,698"
10/15/2017,"2,707","23,779",9.53,0,366,605,20,59,"2,043"
10/16/2017,"2,905","29,454",11.8,0,357,503,214,36,"2,304"
10/17/2017,"2,450","18,106",7.26,0,435,590,54,4,"1,754"
10/18/2017,"2,391","17,573",7.04,0,440,583,20,5,"1,663"
10/19/2017,"2,528","19,871",7.96,0,324,619,53,7,"1,858"
10/20/2017,"2,394","18,020",7.22,0,541,517,70,8,"1,650"
10/21/2017,"2,273","15,617",6.26,0,538,492,52,5,"1,495"
10/22/2017,"2,227","15,282",6.12,0,621,423,40,19,"1,380"
10/23/2017,"2,562","22,841",9.15,0,504,412,48,91,"1,785"
10/24/2017,"2,340","17,149",6.87,0,364,471,29,40,"1,555"
10/25/2017,"2,536","22,082",8.85,0,441,455,45,61,"1,768"
10/26/2017,"2,229","15,300",6.15,0,422,418,30,36,"1,396"
10/27/2017,"2,691","25,123",10.07,0,366,455,70,91,"1,973"
10/28/2017,"2,143","12,844",5.15,0,616,470,31,1,"1,323"
10/29/2017,"2,461","19,704",7.9,0,439,503,9,54,"1,699"
10/30/2017,"2,731","26,197",10.5,0,537,467,58,89,"2,006"
10/31/2017,"2,900","29,693",11.9,0,376,463,89,111,"2,225"
